T,method,OoS
100,SAA,12.363885515751623
100,LS,1.7240513921185587
100,ER-SAA,0.024160788899430675
100,AD,0.05553132565188666
100,KNN,0.3429454163585756
100,M5 + AD,0.08131432821760964
100,CART,5.716286553864624
1000,SAA,11.724952241341377
1000,LS,1.4933295414742824
1000,ER-SAA,0.01084072656968143
1000,AD,0.03556675095812385
1000,KNN,0.487626389896968
1000,M5 + AD,0.05590009618972877
1000,CART,0.7147132839194273
10000,SAA,11.514400452128296
10000,LS,1.5040153545491508
10000,ER-SAA,0.007562612347662138
10000,AD,0.03761516901535397
10000,KNN,0.03588367579522902
10000,M5 + AD,0.15435454933099352
10000,CART,1.0816782849971216
100,SAA,9.962497812011046
100,LS,1.6752895243364339
100,ER-SAA,0.027113290510013013
100,AD,0.07697086183190598
100,KNN,0.7495901755039569
100,M5 + AD,0.055186763490821085
100,CART,0.7625533299573243
1000,SAA,6.714608019234642
1000,LS,1.3296544561190224
1000,ER-SAA,0.004896141965087328
1000,AD,0.024331817787873196
1000,KNN,1.0826778191265316
1000,M5 + AD,0.0303893544104024
1000,CART,1.4165436834819496
10000,SAA,6.845159178207072
10000,LS,1.3829871551477342
10000,ER-SAA,0.004495180348443369
10000,AD,0.02516164781640327
10000,KNN,0.4367091213958684
10000,M5 + AD,0.10510936190183172
10000,CART,2.0743755420218775
100,SAA,4.074674545596314
100,LS,1.1456417546561375
100,ER-SAA,0.06706999101712594
100,AD,0.053493118899375566
100,KNN,1.516679609871495
100,M5 + AD,0.2394674832330028
100,CART,6.444425230145386
1000,SAA,7.892820017405595
1000,LS,1.194738711664748
1000,ER-SAA,0.018357532246720605
1000,AD,0.031993115308151285
1000,KNN,0.41427596339623024
1000,M5 + AD,0.04391822240609933
1000,CART,2.4034829269597955
10000,SAA,7.597057995753562
10000,LS,1.3771006583185832
10000,ER-SAA,0.004221453722015517
10000,AD,0.0270949505823573
10000,KNN,0.8265235829875839
10000,M5 + AD,0.12167604702641789
10000,CART,1.7078816581540086
100,SAA,1.8028916800778738
100,LS,0.9530053482206464
100,ER-SAA,0.05253284856649813
100,AD,0.16165076770621686
100,KNN,1.016672141491399
