T,method,OG
100,SAA,26.567836644805556
100,KNN,9.332234058180374
100,LS,0.12264671219682438
100,AD,13.02535041251167
100,CART,15.25694438615778
100,ER-SAA,6.403882191096104
100,M5 + AD,1.272358901538314
1000,SAA,41.09548860683309
1000,KNN,2.610719458095397
1000,LS,1.1968614119468004
1000,AD,6.920031669939533
1000,CART,15.551577632704095
1000,ER-SAA,6.350669462148716
1000,M5 + AD,1.241233898036634
10000,SAA,36.929642743139254
10000,KNN,0.7646505632234766
10000,LS,0.7384658114461289
10000,AD,7.482096635521511
10000,CART,5.004255304978965
10000,ER-SAA,6.840089493542081
10000,M5 + AD,0.03329505376332082
100,SAA,23.64507872190821
100,KNN,5.807274559734712
100,LS,2.1508200213269264
100,AD,3.137692891669589
100,CART,12.790934330994167
100,ER-SAA,3.404008961214624
100,M5 + AD,6.489425507347962
1000,SAA,21.59116172290354
1000,KNN,7.7582835383438455
1000,LS,0.22814239282646273
1000,AD,6.975655300536077
1000,CART,8.505386830497853
1000,ER-SAA,5.60441904947679
1000,M5 + AD,3.291011775842529
10000,SAA,24.27205524368083
10000,KNN,3.1609585655070758
10000,LS,0.1530937809292028
10000,AD,8.172452190805675
10000,CART,41.02739059857675
10000,ER-SAA,6.196929016524264
10000,M5 + AD,1.1535024067590218
100,SAA,48.670156957483655
100,KNN,4.956131374944219
100,LS,2.931933138002023
100,AD,7.000602415690754
100,CART,0.3811249679718811
100,ER-SAA,7.023763109803935
100,M5 + AD,3.218036195421529
1000,SAA,41.92862585357487
1000,KNN,1.2731887561168818
1000,LS,2.0894762002294156
1000,AD,6.49187927615079
1000,CART,27.47127635036326
1000,ER-SAA,6.332799934906357
1000,M5 + AD,1.1952064255542292
10000,SAA,38.39049968624658
10000,KNN,0.08139906169011128
10000,LS,3.575308658021273
10000,AD,5.879146415440297
10000,CART,1.2616805742469706
10000,ER-SAA,5.94083170509019
10000,M5 + AD,0.30141113424842936
100,SAA,4.532913518132415
100,KNN,15.816718057069757
100,LS,10.98502884612654
100,AD,6.851475001424286
100,CART,216.4435730794354
100,ER-SAA,3.0127418325583792
100,M5 + AD,2.782134433614098
1000,SAA,173.22223239140624
1000,KNN,5.236035515352178
1000,LS,64.38866287898475
1000,AD,2.5656206106773523
1000,CART,0.538775737351383
1000,ER-SAA,0.8116986057706048
1000,M5 + AD,7.029173860985597
10000,SAA,184.52595904618195
10000,KNN,9.655822372318573
10000,LS,76.80024834580469
10000,AD,1.3280153747888623
10000,CART,71.68945218427545
10000,ER-SAA,5.30833973667129
10000,M5 + AD,0.07562801438665993
100,SAA,27.864746652828476
100,KNN,5.4647143024516875
100,LS,37.181840754531216
100,AD,0.17401543552591642
100,CART,3.439104224094213
100,ER-SAA,1.9606111802321435
100,M5 + AD,0.31102937494272237
1000,SAA,38.03451645042471
1000,KNN,1.2073209506825575
1000,LS,66.6256159793388
1000,AD,0.6551891198377122
1000,CART,17.971908727869742
1000,ER-SAA,0.9311002313465618
1000,M5 + AD,0.041459343981136265
10000,SAA,41.16794981343567
10000,KNN,0.13499901341344345
10000,LS,70.53519928911781
10000,AD,1.2341589604197463
10000,CART,17.199081683482223
10000,ER-SAA,1.5359727847539437
10000,M5 + AD,0.3042461017302105
100,SAA,24.882752288446845
100,KNN,17.53174412621132
100,LS,2.3513619301381623
100,AD,9.461376049706805
100,CART,150.27605730467067
100,ER-SAA,9.905170136035801
100,M5 + AD,0.8760533945462219
1000,SAA,13.099071552567008
1000,KNN,8.09654669222966
1000,LS,1.5593087335585254
1000,AD,9.417051204797103
1000,CART,1.4285510459571706
1000,ER-SAA,7.483489516229542
1000,M5 + AD,0.7617001090855171
10000,SAA,13.81943578992584
10000,KNN,3.602375562146224
10000,LS,2.2790397970123104
10000,AD,10.53776421654127
10000,CART,2.8513119754497414
10000,ER-SAA,8.476184690716194
10000,M5 + AD,0.1402756587640772
100,SAA,22.315672490936723
100,KNN,7.7471567305984745
100,LS,0.09405350114733915
100,AD,5.269758077601038
100,CART,10.216479218831381
100,ER-SAA,5.022657713637557
100,M5 + AD,27.983795071315303
1000,SAA,23.699364634712943
1000,KNN,4.467133403679454
1000,LS,0.5203294736360881
1000,AD,9.323017968181427
1000,CART,6.573653579347229
1000,ER-SAA,7.451363818017869
1000,M5 + AD,0.020983610802136766
10000,SAA,26.87389945785799
10000,KNN,1.384916432155458
10000,LS,0.8143618808235957
10000,AD,9.702266997959725
10000,CART,0.26276676750480843
10000,ER-SAA,7.797926040480459
10000,M5 + AD,0.060997509891804816
100,SAA,20.038923502797708
100,KNN,17.2462676162535
100,LS,0.9586875472761648
100,AD,12.095717494570097
100,CART,30.286979821056356
100,ER-SAA,8.892056319170797
100,M5 + AD,1.9709340607919386
1000,SAA,22.384461240455195
1000,KNN,5.3148589777025075
1000,LS,0.8001369351955445
1000,AD,9.643790915040666
1000,CART,81.78417615882398
