business_day,max_temperature_f,year,month,wind_dir_degrees,min_humidity,weekday,cloud_cover
1,74,2013,8,286,57,3,4
1,78,2013,8,291,50,4,2
0,71,2013,8,284,57,5,4
0,74,2013,9,284,49,6,4
0,75,2013,9,277,61,0,6
1,73,2013,9,276,46,1,2
1,74,2013,9,269,53,2,4
1,72,2013,9,270,57,3,3
1,85,2013,9,287,29,4,0
0,88,2013,9,305,31,5,1
0,74,2013,9,299,53,6,2
1,76,2013,9,303,50,0,1
1,74,2013,9,230,53,1,1
1,74,2013,9,219,57,2,5
1,71,2013,9,268,61,3,7
1,66,2013,9,271,67,4,6
0,66,2013,9,265,67,5,7
0,73,2013,9,276,53,6,5
1,71,2013,9,274,57,0,3
1,68,2013,9,270,58,1,3
1,78,2013,9,278,41,2,1
1,80,2013,9,297,38,3,0
1,73,2013,9,248,53,4,6
0,68,2013,9,218,59,5,6
0,70,2013,9,292,47,6,1
1,78,2013,9,294,50,0,0
1,71,2013,9,277,53,1,1
1,67,2013,9,281,45,2,1
1,71,2013,9,281,33,3,0
1,78,2013,9,279,25,4,0
0,78,2013,9,296,35,5,1
0,75,2013,9,253,53,6,3
1,73,2013,9,264,51,0,4
1,69,2013,10,273,45,1,3
1,69,2013,10,280,45,2,2
1,70,2013,10,294,28,3,0
1,76,2013,10,13,22,4,0
0,80,2013,10,122,15,5,0
0,83,2013,10,345,13,6,4
1,80,2013,10,295,19,0,3
1,72,2013,10,278,41,1,2
1,68,2013,10,286,37,2,2
1,70,2013,10,302,45,3,1
1,63,2013,10,275,56,4,4
0,64,2013,10,252,53,5,3
0,73,2013,10,286,31,6,1
0,77,2013,10,272,27,0,0
1,80,2013,10,294,18,1,0
1,80,2013,10,305,19,2,1
1,81,2013,10,306,39,3,0
1,68,2013,10,294,48,4,1
0,74,2013,10,301,44,5,0
0,64,2013,10,290,60,6,2
1,61,2013,10,284,67,0,3
1,64,2013,10,281,64,1,5
1,61,2013,10,282,72,2,6
1,60,2013,10,269,62,3,6
1,67,2013,10,263,52,4,4
0,70,2013,10,292,44,5,1
0,60,2013,10,267,62,6,6
1,61,2013,10,263,55,0,5
1,63,2013,10,256,48,1,4
1,65,2013,10,286,48,2,2
1,70,2013,10,300,37,3,0
1,74,2013,11,315,37,4,0
0,63,2013,11,284,56,5,3
0,63,2013,11,277,34,6,4
1,67,2013,11,286,31,0,0
1,71,2013,11,279,22,1,1
1,70,2013,11,68,31,2,5
1,71,2013,11,284,42,3,4
1,70,2013,11,269,43,4,2
0,66,2013,11,334,48,5,1
0,64,2013,11,269,60,6,3
0,62,2013,11,76,60,0,7
1,70,2013,11,312,47,1,4
1,68,2013,11,303,60,2,3
1,61,2013,11,266,71,3,5
1,65,2013,11,268,48,4,1
0,62,2013,11,273,51,5,2
0,63,2013,11,245,48,6,4
1,60,2013,11,199,55,0,5
1,61,2013,11,131,66,1,7
1,59,2013,11,239,86,2,7
1,62,2013,11,349,35,3,5
1,69,2013,11,47,19,4,1
0,65,2013,11,79,28,5,0
0,60,2013,11,319,53,6,0
1,61,2013,11,180,53,0,1
1,62,2013,11,100,43,1,5
1,62,2013,11,137,52,2,5
0,66,2013,11,280,44,3,3
1,62,2013,11,316,63,4,0
0,63,2013,11,303,65,5,3
0,67,2013,12,308,46,6,1
1,62,2013,12,277,64,0,5
1,56,2013,12,285,45,1,4
1,52,2013,12,309,30,2,0
1,51,2013,12,196,26,3,0
1,53,2013,12,180,50,4,6
0,52,2013,12,293,36,5,3
0,47,2013,12,64,36,6,2
1,52,2013,12,113,28,0,0
1,52,2013,12,138,42,1,2
1,57,2013,12,130,35,2,1
1,54,2013,12,278,48,3,1
1,53,2013,12,353,63,4,2
0,61,2013,12,263,36,5,1
0,60,2013,12,102,43,6,3
1,65,2013,12,113,31,0,5
1,59,2013,12,96,43,1,6
1,57,2013,12,274,66,2,6
1,59,2013,12,306,27,3,2
1,60,2013,12,257,29,4,1
0,60,2013,12,288,62,5,1
0,65,2013,12,337,39,6,1
1,60,2013,12,32,47,0,1
1,59,2013,12,308,51,1,2
0,63,2013,12,218,43,2,0
1,62,2013,12,24,43,3,0
1,57,2013,12,60,51,4,4
0,63,2013,12,262,32,5,0
0,68,2013,12,129,14,6,0
1,59,2013,12,312,43,0,3
1,59,2013,12,278,53,1,3
0,56,2014,1,290,55,2,3
1,62,2014,1,146,36,3,3
1,64,2014,1,297,37,4,3
0,66,2014,1,266,36,5,2
0,66,2014,1,125,24,6,0
1,60,2014,1,75,51,0,5
1,61,2014,1,304,53,1,5
1,59,2014,1,281,72,2,7
1,60,2014,1,287,57,3,5
1,60,2014,1,310,60,4,4
0,58,2014,1,281,72,5,4
0,60,2014,1,313,47,6,2
1,67,2014,1,88,28,0,1
1,72,2014,1,134,19,1,0
1,73,2014,1,131,17,2,0
1,73,2014,1,125,19,3,0
1,67,2014,1,128,34,4,0
0,67,2014,1,128,36,5,0
0,67,2014,1,110,32,6,1
0,66,2014,1,354,43,0,1
1,68,2014,1,258,20,1,3
1,65,2014,1,304,51,2,1
1,69,2014,1,61,21,3,0
1,64,2014,1,5,32,4,3
0,65,2014,1,281,37,5,2
0,66,2014,1,317,46,6,3
1,59,2014,1,301,62,0,6
1,65,2014,1,290,72,1,7
