weekday,month,year,business_day,wind_dir_degrees,precipitation_inches
3,8,2013,1,286.0,0.0
4,8,2013,1,291.0,0.0
5,8,2013,0,284.0,0.0
6,9,2013,0,284.0,0.0
0,9,2013,0,277.0,0.0
1,9,2013,1,276.0,0.0
2,9,2013,1,269.0,0.0
3,9,2013,1,270.0,0.0
4,9,2013,1,287.0,0.0
5,9,2013,0,305.0,0.0
6,9,2013,0,299.0,0.0
0,9,2013,1,303.0,0.0
1,9,2013,1,230.0,0.0
2,9,2013,1,219.0,0.0
3,9,2013,1,268.0,0.0
4,9,2013,1,271.0,0.0
5,9,2013,0,265.0,0.0
6,9,2013,0,276.0,0.0
0,9,2013,1,274.0,0.0
1,9,2013,1,270.0,0.0
2,9,2013,1,278.0,0.0
3,9,2013,1,297.0,0.0
4,9,2013,1,248.0,0.0
5,9,2013,0,218.0,0.23
6,9,2013,0,292.0,0.0
0,9,2013,1,294.0,0.0
1,9,2013,1,277.0,0.0
2,9,2013,1,281.0,0.0
3,9,2013,1,281.0,0.0
4,9,2013,1,279.0,0.0
5,9,2013,0,296.0,0.0
6,9,2013,0,253.0,0.0
0,9,2013,1,264.0,0.0
1,10,2013,1,273.0,0.0
2,10,2013,1,280.0,0.0
3,10,2013,1,294.0,0.0
4,10,2013,1,13.0,0.0
5,10,2013,0,122.0,0.0
6,10,2013,0,345.0,0.01
0,10,2013,1,295.0,0.0
1,10,2013,1,278.0,0.0
2,10,2013,1,286.0,0.0
3,10,2013,1,302.0,0.0
4,10,2013,1,275.0,0.0
5,10,2013,0,252.0,0.0
6,10,2013,0,286.0,0.0
0,10,2013,0,272.0,0.0
1,10,2013,1,294.0,0.0
2,10,2013,1,305.0,0.0
3,10,2013,1,306.0,0.0
4,10,2013,1,294.0,0.0
5,10,2013,0,301.0,0.0
6,10,2013,0,290.0,0.0
0,10,2013,1,284.0,0.0
1,10,2013,1,281.0,0.0
2,10,2013,1,282.0,0.0
3,10,2013,1,269.0,0.0
4,10,2013,1,263.0,0.0
5,10,2013,0,292.0,0.0
6,10,2013,0,267.0,0.0
0,10,2013,1,263.0,0.0
1,10,2013,1,256.0,0.0
2,10,2013,1,286.0,0.0
3,10,2013,1,300.0,0.0
4,11,2013,1,315.0,0.0
5,11,2013,0,284.0,0.0
6,11,2013,0,277.0,0.0
0,11,2013,1,286.0,0.0
1,11,2013,1,279.0,0.0
2,11,2013,1,68.0,0.0
3,11,2013,1,284.0,0.0
4,11,2013,1,269.0,0.0
5,11,2013,0,334.0,0.0
6,11,2013,0,269.0,0.0
0,11,2013,0,76.0,0.0
1,11,2013,1,312.0,0.0
2,11,2013,1,303.0,0.0
3,11,2013,1,266.0,0.0
4,11,2013,1,268.0,0.0
5,11,2013,0,273.0,0.0
6,11,2013,0,245.0,0.0
0,11,2013,1,199.0,0.0
1,11,2013,1,131.0,0.28
2,11,2013,1,239.0,0.63
3,11,2013,1,349.0,0.0
4,11,2013,1,47.0,0.0
5,11,2013,0,79.0,0.0
6,11,2013,0,319.0,0.0
0,11,2013,1,180.0,0.0
1,11,2013,1,100.0,0.0
2,11,2013,1,137.0,0.0
3,11,2013,0,280.0,0.0
4,11,2013,1,316.0,0.0
