method,OoS
CART,2437.551351810542
LS,2572.7973561003587
M5 + AD,2329.5732827637526
AD,2319.6813345964765
SAA,2165.00646799055
KNN,2161.0796856842317
ER-SAA,2130.46455667724
CART,2614.1417821551586
LS,2799.269823231387
M5 + AD,2547.8544101706893
AD,2583.117894898453
SAA,2343.5304416105773
KNN,2339.508824779374
ER-SAA,2316.804668020123
CART,2341.2710399955185
LS,2476.307494108636
M5 + AD,2153.1750493781183
AD,2169.611846781872
SAA,1978.1547293754477
KNN,1981.359647175322
ER-SAA,1940.8522067144156
CART,2890.1939836017655
LS,2985.6191390559393
M5 + AD,2615.814059960843
AD,2664.4958205056128
SAA,2405.201817498164
KNN,2404.381200888282
ER-SAA,2407.5549414957304
CART,3226.514056105197
LS,3246.171753390062
M5 + AD,2821.0512668559227
AD,2750.7491897370487
SAA,2415.480432099892
KNN,2422.262797900171
ER-SAA,2511.3902496353853
CART,2754.7240797545132
LS,2792.8721062434706
M5 + AD,2408.1060052835614
AD,2412.656993854546
SAA,2245.950023570915
KNN,2238.106914231799
ER-SAA,2195.6286422117246
CART,3087.985994489117
LS,2978.12652654175
M5 + AD,2657.2587279981967
AD,2727.814303456225
SAA,2440.381768736559
KNN,2438.268017464346
ER-SAA,2453.4035730747996
CART,2680.272281798609
LS,2871.479724810016
M5 + AD,2491.5773521781
AD,2575.610043343181
SAA,2327.7348988329677
KNN,2330.2092568353505
ER-SAA,2301.47592354429
CART,2708.3409977794913
LS,2895.116561683257
M5 + AD,2584.1529335480404
AD,2603.4907016460493
SAA,2422.6854599203784
KNN,2423.6263602252716
ER-SAA,2393.39249129079
CART,2543.5312112104953
LS,2591.525939442404
M5 + AD,2280.3679246805314
AD,2325.879215501575
SAA,2060.178878947448
KNN,2061.8423145426723
ER-SAA,2022.9207532025046
